true,predicted,category,feature
0.8473168827373054,0.8652117033394918,no_correction,border
2.210366427934554,2.1943846153524436,no_correction,illegals
1.0296865349554185,1.0376801856497464,no_correction,god
1.9195712586934353,1.9179793839463273,no_correction,defund
0.947830004001108,0.957006315538801,no_correction,love
0.8473168827373054,0.32870661565248244,non_parametric_bootstrap,border
2.210366427934554,0.36097969353722414,non_parametric_bootstrap,illegals
1.0296865349554185,0.37081737658195046,non_parametric_bootstrap,god
1.9195712586934353,0.428788391839483,non_parametric_bootstrap,defund
0.947830004001108,0.46774673024313834,non_parametric_bootstrap,love
0.8473168827373054,0.8389549171857614,parametric_bootstrap,border
2.210366427934554,2.27128692458914,parametric_bootstrap,illegals
1.0296865349554185,1.0141190495684969,parametric_bootstrap,god
1.9195712586934353,1.9069611758731417,parametric_bootstrap,defund
0.947830004001108,0.9574771489098866,parametric_bootstrap,love
