true,predicted,category,feature
7.491279693899731,8.272380684108418,no_correction,border
5.790370678304617,6.3923191188455535,no_correction,illegal
4.896751845067567,5.446532227871352,no_correction,god
1.1809699288304498,1.5106153501095165,no_correction,defund
0.9349812363166592,1.1370802106872728,no_correction,happy
7.491279693899731,7.497679809201015,non_parametric_bootstrap,border
5.790370678304617,5.832335983568017,non_parametric_bootstrap,illegal
4.896751845067567,4.77884444860249,non_parametric_bootstrap,god
1.1809699288304498,1.0756616269881318,non_parametric_bootstrap,defund
0.9349812363166592,0.9594110548987034,non_parametric_bootstrap,happy
7.491279693899731,7.497679809201015,parametric_bootstrap,border
5.790370678304617,5.832335983568017,parametric_bootstrap,illegal
4.896751845067567,4.77884444860249,parametric_bootstrap,god
1.1809699288304498,1.0756616269881318,parametric_bootstrap,defund
0.9349812363166592,0.9594110548987034,parametric_bootstrap,happy
